,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
2412,3079,09/06/2010,Renewable Energy Systems (RES),Coal Clough Wind Farm,Wind Onshore,9.6,0.4,24.0,,Operational,Burnley,Lancashire,North West,England,,390207,428154.0,01/02/1993,"(53.74966189910283, -2.149983685162335)"
2422,3090,27/11/2001,National Energy Laboratories (NEL),Myres Hill,Wind Onshore,1.8,0.9,2.0,,Operational,Galloway,Strathclyde,Scotland,Scotland,,256840,646620.0,01/11/2001,"(55.69185764289906, -4.279044010610625)"
2423,3092,04/07/2012,REG Windpower (previously Cornwall Light & Power),High Sharpley Wind Farm,Wind Onshore,2.6,1.3,2.0,,Operational,"High Sharpley and South Sharpley Farms
Near Seaham
County Durham",County Durham,North East,England,,442644,549702.0,01/12/2006,"(54.840327410613696, -1.337534566011748)"
2424,3093,05/11/2009,NEL ,National Wind Turbine Test Site,Wind Onshore,4.7,2.3,2.0,,Operational,"National Wind Turbine 
Test site
Myres Hill
Eaglesham",Strathclyde,Scotland,Scotland,,256500,646500.0,15/02/2001,"(55.69067980659526, -4.284385271238472)"
2427,3096,09/07/2009,RWE npower,Little Cheyne Court Wind Farm,Wind Onshore,59.8,2.3,26.0,,Operational,"Little Cheyne Court, Romney Marsh
Near Lydd
Kent",Kent,South East,England,,598310,122060.0,01/06/2009,"(50.96382348228797, 0.8227368165057044)"
2428,3097,23/02/2010,"Colham Energy Ltd, plus Airtricty extrension",Bessy Bell Wind Farm,Wind Onshore,5.0,0.5,10.0,,Operational,"Bessy Bell Mountain Baronscourt Estate Newtownstewart, County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,49687,547922.0,01/10/1995,"(54.703950821595676, -7.4404591441319505)"
2430,3101,22/04/2009,Snow Mountain Investment Ltd,Long Hill Road,Wind Onshore,2.0,2.0,1.0,,Operational,"Foundry Way
Longhill Road
March",Cambridgeshire,Eastern,England,,541686,299303.0,01/01/2005,"(52.573098015299436, 0.08930258267478738)"
2432,3103,29/08/2017,B9 Energy Services Ltd/ ScottishPower Renewables,Corkey Wind Farm,Wind Onshore,5.0,0.5,10.0,,Operational,"Slievenahanaghen Mountain, (Accessed via Corkey Road), Cloughmills",Co. Antrim,Northern Ireland,Northern Ireland,,126222,580523.0,01/12/1994,"(55.043562791591036, -6.28731115028854)"
2434,3105,03/02/2010,SLP Energy,Ness point Wind Turbine 1,Wind Onshore,2.3,2.3,1.0,,Operational,"Land off North Beach Industrial Estate
Off Wilde Street
Nesspoint
Lowestoft",Suffolk,Eastern,England,,655480,293595.0,01/12/2004,"(52.48041805739723, 1.76101601508212)"
2435,3106,29/08/2017,B9 Energy Services Ltd/ ScottishPower Renewables,Elliot's Hill Wind Farm,Wind Onshore,5.0,0.5,10.0,,Operational,"Elliot's Hill
Tildarg
near Ballyclare
County Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,134974,546006.0,01/04/1995,"(54.73893281683261, -6.118966593982835)"
2437,3108,18/05/2017,Innogy (formerly RWE npower),Causeymire,Wind Onshore,48.3,2.0,24.0,,Operational,"Causey Mire, Caithness, Highlands",Highland,Scotland,Scotland,,336736,951086.0,01/06/2004,"(58.44346980051585, -3.085422902255095)"
2438,3109,06/05/2009,Scottish and Southern Energy (SSE),Hadyard Hill,Wind Onshore,120.0,2.3,52.0,,Operational,"Hadyard Hill, East of Girvan, South Ayrshire",Strathclyde,Scotland,Scotland,,226478,599253.0,08/05/2006,"(55.25682334101137, -4.731906523509733)"
2439,3110,09/05/2013,Powergen,Hare Hill (B),Wind Onshore,2.7,1.35,2.0,,Operational,"Hare Hill, Durham",County Durham,North East,England,,437735,540895.0,02/07/2004,"(54.76158064449295, -1.4151091161122948)"
2441,3112,29/08/2017,B9 Energy Services Ltd/ ScottishPower Renewables,Rigged Hill Wind Farm,Wind Onshore,5.0,0.5,10.0,,Operational,"Rigged Hill, 11km east of Limavady, County Londonderry",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,92064,580329.0,01/11/1994,"(55.021853852946535, -6.819826291241417)"
2442,3113,05/01/2015,Greencoat UK Wind,Bin Mountain,Wind Onshore,9.0,1.5,6.0,,Operational,"Lough Hill
Castle Craig, Curraghmacall
Drummahon,",Co. Tyrone,Northern Ireland,Northern Ireland,,38520,541806.0,01/02/2007,"(54.641363537220286, -7.605365752177564)"
2443,3114,07/04/2010,Fred Olsen Renewables,Crystal Rig Phase 1,Wind Onshore,62.5,2.5,25.0,,Operational,"Crystal Rig, Scottish Borders",Borders,Scotland,Scotland,,368350,665650.0,30/06/2004,"(55.882950328328626, -2.507506015278352)"
2445,3116,14/12/2011,Scottish Power Renewables,Black Law,Wind Onshore,124.0,2.3,54.0,,Operational,"Black Law, Climpy",Strathclyde,Scotland,Scotland,,289500,653500.0,31/05/2004,"(55.76218897974121, -3.762566605098417)"
2446,3117,06/08/2004,Airtricity,Ardrossan,Wind Onshore,24.0,2.0,12.0,,Operational,"Near Ardrossan
North Ayreshire",Strathclyde,Scotland,Scotland,,223500,642500.0,19/12/2003,"(55.64389978582304, -4.806141229676192)"
2447,3118,23/02/2010,EF Energy,Owenreagh Wind Farm,Wind Onshore,5.0,0.5,10.0,,Operational,"Land near Craignagapple 10km South East of Strabane 
County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,57111,559168.0,01/01/1997,"(54.80968426021983, -7.339018544776507)"
2448,3119,05/01/2015,Greencoat UK Wind,Braes O'Doune,Wind Onshore,72.0,2.0,36.0,,Operational,"Stirling,  2 km to the north of Braes of Doune",Stirling,Scotland,Scotland,,272590,710500.0,01/09/2006,"(56.269828915366006, -4.058937426759886)"
2449,3120,05/10/2009,Vestas,Thorfinn Wind Farm - NM1500,Wind Onshore,1.5,1.5,1.0,,Operational,"Burgar Hill, Orkney",Orkney Islands,Scotland,Scotland,,334600,1025700.0,01/04/2000,"(59.11310899042899, -3.1438281773113665)"
2451,3122,08/10/2013,Sean Quinn Group,Slieve Rushen Phase 1 Wind Farm,Wind Onshore,5.0,0.5,10.0,,Operational,"Slieve Rushen
Derrylin
20km south of Enniskillen, County Fermanagh",Co. Fermanagh,Northern Ireland,Northern Ireland,,33019,491811.0,01/12/1995,"(54.19028103229391, -7.62840011815144)"
2454,3126,23/10/2009,Private Developer,Boulfruich,Wind Onshore,13.0,0.85,15.0,,Operational,"Houstry
Dunbeath
Caithness",Highland,Scotland,Scotland,,315500,935500.0,01/08/2005,"(58.29993746737623, -3.4433540217195433)"
2456,3128,15/09/2010,Wind Prospect,Bicker Fen,Wind Onshore,26.7,2.0,13.0,,Operational,"Bicker Fen, Bicker, Boston, Lincolnshire",Lincolnshire,East Midlands,England,,519870,339325.0,28/07/2008,"(52.937944872297955, -0.2178149352088049)"
2457,3129,06/05/2009,Powergen / Wind Prospects,Stags Holt,Wind Onshore,18.0,2.0,9.0,,Operational,"March
Cambridgeshire",Cambridgeshire,Eastern,England,,544000,299000.0,01/10/2007,"(52.56976887267601, 0.1232914174246108)"
2458,3130,05/01/2015,Greencoat UK Wind,Tappaghan,Wind Onshore,19.5,1.5,13.0,,Operational,"Lack, Tappaghan Mountains, Northern Ireland",Co. Fermanagh,Northern Ireland,Northern Ireland,,31856,531807.0,01/02/2005,"(54.54713562172703, -7.695579791861857)"
2460,3132,06/05/2009,Fenland Windfarms Ltd,Glass Moor,Wind Onshore,16.0,2.0,8.0,,Operational,"Glass Moor
Near Pondersbridge
Cambridgeshire",Cambridgeshire,Eastern,England,,528421,292867.0,01/12/2005,"(52.518561438873505, -0.108802791482311)"
2461,3133,06/05/2009,Wind Prospect,Gedney Marsh,Wind Onshore,12.0,2.0,6.0,,Operational,"Gedney Marsh
Gedney Drove End
Lincolnshire",Lincolnshire,East Midlands,England,,542014,328596.0,15/07/2008,"(52.83616828233133, 0.10677781047805049)"
2462,3135,06/05/2009,RDC Scotland (Renewable Development Co.),Ben Aketil,Wind Onshore,23.0,2.3,10.0,,Operational,"Ben Aketil
Feorlig
Dunvegan",Highland,Scotland,Scotland,,132500,846500.0,01/09/2007,"(57.42980814867901, -6.458341100842846)"
2474,3147,06/05/2009,RWE npower,Knabs Ridge Windfarm,Wind Onshore,16.0,2.0,8.0,,Operational,"Land between Skipton Road and Penny Pot Lane, Selliscliffe, Harrogate",North Yorkshire,Yorkshire and Humber,England,,423069,455946.0,22/04/2008,"(53.999036084364185, -1.6495751803691199)"
2476,3149,03/05/2012,Renewable Energy Systems (RES),Kelburn,Wind Onshore,28.0,2.0,14.0,,Operational,"Largs
North Ayrshire",Strathclyde,Scotland,Scotland,,224000,655000.0,02/05/2012,"(55.75626067554038, -4.806239806729525)"
2482,3155,31/03/2015,REG Windpower,Ramsey 1,Wind Onshore,1.8,1.8,1.0,,Operational,"Rear of Packing Station
St Mary's Road
Ramsey
Cambs",Cambridgeshire,Eastern,England,,528800,284900.0,30/09/2008,"(52.44688833862217, -0.10629744905057557)"
2484,3157,04/12/2009,Ecotricity,Bambers Farm,Wind Onshore,9.6,0.6,8.0,,Operational,"Mile Lane, Mablethorpe, Lincolnshire",Lincolnshire,East Midlands,England,,549195,382820.0,01/11/2004,"(53.32128365495736, 0.23842542978860756)"
2485,3158,05/08/2011,Ecotricity,Ford Wind Park - Dagenham,Wind Onshore,5.9,2.96,2.0,,Operational,"Ford Motor Company Estate
Kent Avenue
Dagenham",London,London,England,,549327,182167.0,17/06/2004,"(51.518690209334785, 0.1508289571112228)"
2486,3159,22/09/2004,Ecotricity,Swaffham Plashes II,Wind Onshore,1.8,1.79,1.0,,Operational,"Old Sporle Road
Swaffham",Norfolk,Eastern,England,,582760,310085.0,15/07/2003,"(52.657681935226165, 0.7007017596125766)"
2488,3161,06/05/2009,Ecotricity,Shooters Bottom Wind Park,Wind Onshore,2.0,2.0,1.0,,Operational,"Shooters Bottom, Chewton Mendip,",Somerset,South West,England,,359380,150740.0,16/06/2008,"(51.254369366073085, -2.5834399185269503)"
2493,3168,02/08/2017,Bessy Bell Windfarm,Bessy Bell Extension,Wind Onshore,9.0,1.3,6.0,,Operational,"Bessy Bell Moutain, 5km south of Newtownstewart, 17km south of Strabane and 9km northwest of Omagh",Co. Tyrone,Northern Ireland,Northern Ireland,,50592,547973.0,24/04/2008,"(54.70503565371882, -7.426539338201711)"
2495,3171,06/05/2009,Hainsford Energy,Caton Moor Windfarm Repowering,Wind Onshore,16.0,2.0,8.0,,Operational,"Littledale,
Caton
Lancashire",Lancashire,North West,England,,357298,463963.0,01/06/2006,"(54.069820502642095, -2.654016206597732)"
2496,3172,03/05/2017,John Laing Environmental Assets Group,Moel Maelogen A Phase 2,Wind Onshore,11.7,1.3,8.0,,Operational,"Moel Maelogen, Nr Llanrwst, Conwy, Gwynedd",Gwynedd,Wales,Wales,,284700,361300.0,01/10/2008,"(53.13634185749763, -3.7249756687259965)"
2501,3177,27/02/2018,Munich Re (previously Peel),Scout Moor Windfarm,Wind Onshore,65.0,2.5,26.0,,Operational,"Land at Scout Moor, off Edenfield Road, Rochdale",Lancashire,North West,England,,382400,419200.0,01/06/2008,"(53.66897658356124, -2.26785853491505)"
2503,3179,26/09/2005,Private Developer,The Haven,Wind Onshore,1.2,1.2,1.0,,Operational,"The Haven
Oxhill Farm
Blackmor Park
Malvern
Worcestershire",Hereford and Worcester,West Midlands,England,,378300,247900.0,05/11/2003,"(52.12897579599758, -2.3184117894637533)"
2509,3186,06/01/2010,National Wind Power,The Hollies,Wind Onshore,2.6,1.3,2.0,,Operational,"The Hollies
High Lane 
Croft
Skegness
pe24 4sh",Lincolnshire,East Midlands,England,,549995,362998.0,01/01/2008,"(53.14301854784259, 0.24110552554490125)"
2513,3190,28/10/2010,West Coast Energy (agents for Tullo Wind Ltd and GE Wind),Tullo Farm,Wind Onshore,17.5,2.5,7.0,,Operational,"Tullo Farm, Laurencekirk, Aberdeenshire
Garvock
Laurencekirk",Grampian,Scotland,Scotland,,387283,785873.0,07/09/2010,"(56.96390980526241, -2.2107583566110285)"
2514,3191,04/12/2017,Gravis Capital Management,Garves Mountain Farm,Wind Onshore,15.0,3.0,5.0,,Operational,"Garves Mountain Farm, Tullaghans Road
(access adjacent to no. 91), Dunloy.
Ballymoney",Co. Antrim,Northern Ireland,Northern Ireland,,108200,577000.0,01/01/2009,"(55.00175792025587, -6.5648680376198865)"
2516,3194,03/09/2007,Bristol Port Authority,Avonmouth Port,Wind Onshore,6.0,2.0,3.0,,Operational,Avonmouth Port,Avon,South West,England,,351335,179980.0,20/08/2007,"(51.5166337407691, -2.702727413674167)"
2522,3200,04/06/2015,Tetro Energy Ltd (ECO2),Dummuie,Wind Onshore,12.3,1.75,7.0,,Operational,"East Dummuie
Huntly",Grampian,Scotland,Scotland,,358600,840300.0,01/01/2007,"(57.45110354288081, -2.6915117252250096)"
2523,3201,27/06/2016,Falck Renewables,Earlsburn,Wind Onshore,37.5,2.5,14.0,,Operational,"Hart Hill, Fintry, Stirling",Stirling,Scotland,Scotland,,269652,688422.0,01/02/2007,"(56.07080629622523, -4.095513956773989)"
2524,3202,23/10/2009,Renewable Development Company (RDC),Kilbraur Windfarm,Wind Onshore,47.5,2.5,19.0,,Operational,"Rogart, Sutherland
(former Strath Brora Site)",Highland,Scotland,Scotland,,278550,907550.0,14/06/2008,"(58.04040163757691, -4.058804857595992)"
2527,3205,08/08/2011,Scottish and Southern Energy (SSE),Achany Wind Farm,Wind Onshore,38.0,2.0,19.0,,Operational,"Albany Estate, Achany, Lairg, Highlands, IV27 4",Highland,Scotland,Scotland,,252350,904150.0,11/10/2010,"(58.00194773414335, -4.500008297556101)"
2529,3207,23/10/2009,Private Developer,Bilbster Wind Farm,Wind Onshore,3.9,1.3,3.0,,Operational,"Flex Hill, Flex Hill Wind Cluster, Bilbster, Caithness",Highland,Scotland,Scotland,,327150,951850.0,01/02/2008,"(58.44883465993638, -3.249833252599116)"
2532,3210,06/05/2009,Ecotricity / Prudential,Green Park,Wind Onshore,2.0,2.0,1.0,,Operational,"Plot 12, South Oak Way, Green Park, Reading, Berkshire",Berkshire,South East,England,,470640,169375.0,01/10/2005,"(51.41899750582904, -0.9855264067656769)"
2536,3214,05/01/2015,Greencoat UK Wind,Carcant Windfarm,Wind Onshore,6.0,2.0,3.0,,Operational,Innerleithen,Borders,Scotland,Scotland,,336250,652850.0,02/11/2010,"(55.76477631785419, -3.017556833756378)"
2540,3218,08/08/2011,E.ON UK,Butterwick Moor,Wind Onshore,20.5,2.05,10.0,,Operational,"Butterwick Moor, Sedgefield",County Durham,North East,England,,439000,530000.0,01/04/2011,"(54.66358093453823, -1.396905880462342)"
2542,3220,04/09/2009,Scottish Power Renewables,Hagshaw Hill Wind Farm Extension,Wind Onshore,26.0,1.3,20.0,,Operational,Extension to current Windfarm at Hagshaw Hill,Strathclyde,Scotland,Scotland,,279000,632000.0,01/10/2008,"(55.56660389518239, -3.9203184304538006)"
2545,3223,27/04/2009,EDF Energy,Southern Law,Wind Onshore,5.2,1.3,4.0,,Operational,"Southern Law Farm
Trimdon Grange",County Durham,North East,England,,436500,536500.0,10/07/2008,"(54.72217770364319, -1.4348501704697543)"
2549,3229,03/03/2010,Westbury Windfarms,Llangwyryfon,Wind Onshore,9.4,0.85,11.0,,Operational,"Llangwyryfon,
Southeast Aberystwyth
Ceredigion",Dyfed,Wales,Wales,,261752,269577.0,01/02/2004,"(52.306854938698976, -4.029155606454506)"
2552,3232,06/04/2010,Your Energy,Pates Hill,Wind Onshore,14.0,2.0,7.0,,Operational,"West Calder Lothian, EH55",Lothian,Scotland,Scotland,,299130,659300.0,20/01/2010,"(55.81638608679792, -3.6113177433851686)"
2553,3233,04/07/2012,REG Windpower (previously Cornwall Light and Power),Roskrow Wind Turbines,Wind Onshore,1.7,0.85,2.0,,Operational,"Roskrow Barton Farm, Roskrow, Penryn, Cornwall, TR10 9AP",Cornwall,South West,England,,176500,35500.0,01/12/2007,"(50.1772786915208, -5.131645886930914)"
2556,3236,23/10/2009,A7 Energy,Greendykeside,Wind Onshore,4.0,2.0,2.0,,Operational,"Greendykeside Farm, Longriggend, Airdrie, Lanarkshire",Strathclyde,Scotland,Scotland,ML6 7TT,281134,670403.0,01/11/2007,"(55.91199366113569, -3.9032161916312424)"
2559,3241,05/11/2019,Foresight Group,Gruig Wind Farm,Wind Onshore,25.0,2.5,10.0,,Operational,"Gruig, Corkey, nr Cloughmills, Co. Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,126155,577763.0,27/01/2009,"(55.01879369158351, -6.285711547701667)"
2560,3242,23/02/2010,B9 Energy / RES,Wolf Bog Wind Farm,Wind Onshore,8.8,1.75,5.0,,Operational,"Wolf Bog, Tildarg, nr Ballyclare, Co. Antrim",Co. Antrim,Northern Ireland,Northern Ireland,,137865,553129.0,01/11/2007,"(54.8042970038054, -6.08061033487768)"
2561,3243,24/10/2011,ESB,Curryfree Wind Farm,Wind Onshore,15.0,2.5,6.0,,Operational,"Curryfree ,
South of Newbuildings / Drumahoe and north of Dunamanagh,
Co. Londonderry",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,59555,572350.0,01/08/2011,"(54.92929802592682, -7.316700376839917)"
2562,3244,03/01/2019,B9 Energy / RES,Altahullion Phase II,Wind Onshore,11.7,1.3,9.0,,Operational,"Altahullion Wind Farm,
Dungiven,
Co. Londonderry",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,80176,575395.0,01/09/2007,"(54.97018949149881, -6.999554571480628)"
2563,3245,23/08/2017,Greencoat (formerly Infinis/SSE) ,Slieve Divena Phase 1 Wind Farm,Wind Onshore,30.0,2.5,12.0,,Operational,"Slieve Divena
Sixmilecross
Beragh
Ballygawley
County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,69602,524593.0,10/03/2009,"(54.508596735302305, -7.106399976818087)"
2565,3247,04/07/2012,REG Windpower (previously Cornwall Light and Power),Loscar Farm,Wind Onshore,4.5,1.3,3.0,,Operational,"Loscar Farm, Packman Lane, Harthill",South Yorkshire,Yorkshire and Humber,England,,451000,380000.0,01/01/2011,"(53.31448600820348, -1.2359614619371595)"
2566,3248,27/04/2009,EDF Energy,Langley Moor,Wind Onshore,8.0,2.0,4.0,,Operational,"Burnhope
Standagainstall 
Plantation, Long Edge, Burnhope, County Durham",County Durham,North East,England,,420928,547703.0,13/08/2008,"(54.82373706312032, -1.675799692920282)"
2569,3251,11/04/2011,Private Developer,Land approx 75m South of 141,Wind Onshore,20.0,2.5,8.0,,Operational,"Land approx 75m South of 141 Greencastle Road, Omagh",Co. Tyrone,Northern Ireland,Northern Ireland,,72186,544257.0,01/07/2007,"(54.686294598419536, -7.088607144977593)"
2571,3253,10/05/2016,Wind Farm Developments  / RES UK & Ireland,Hunter's Hill,Wind Onshore,20.0,2.5,8.0,,Operational,"Hunter's Hill, (In the townlands of Tattymoyle Lower, Edergole, Killygordon and Tattanafinnell), Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,53811,517991.0,22/09/2010,"(54.438995278988656, -7.341507635566586)"
2575,3258,25/10/2011,Scottish Power Renewables,Arecleoch Windfarm,Wind Onshore,120.0,2.0,60.0,,Operational,Arecleoch and Kilgallioch Forest near Barrhill,South Ayrshire,Scotland,Scotland,,221500,578500.0,14/06/2011,"(55.06878497205822, -4.797053507264143)"
2577,3260,16/08/2011,Force 9 Energy,Mark Hill,Wind Onshore,56.0,2.3,24.0,,Operational,"Mark's Hill, Barrhill",Strathclyde,Scotland,Scotland,,225000,585000.0,01/06/2011,"(55.1283730537946, -4.746310375516401)"
2579,3263,01/08/2016,Screggagh Windfarm,Screggagh,Wind Onshore,19.5,2.5,8.0,,Operational,"Screggagh, Screggagh & Stranisk townlands, Fintona. Co Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,54566,520549.0,21/03/2011,"(54.46239773002679, -7.332900103311362)"
2580,3264,09/06/2010,Private Developer,Westmill Wind Farm,Wind Onshore,6.5,1.3,5.0,,Operational,"Westmill Farm, Highworth Road, Watchfield, Swindon, Oxon",Oxfordshire,South East,England,SN6 8TH,423218,190825.0,01/01/2008,"(51.61577720724277, -1.6660633805921579)"
2586,3272,03/03/2010,Private Developer,Lodge Farm 1,Wind Onshore,1.0,1.0,1.0,,Operational,"Lodge Farm, Hubberston, Milford Haven",Dyfed,Wales,Wales,,188700,207500.0,01/08/2006,"(51.72629770150175, -5.060933113823004)"
2591,3277,06/01/2010,RWE npower,"Carno 'A'and 'B' Wind Farm, (Extension)",Wind Onshore,15.6,1.3,12.0,,Operational,"Cwm Cledan, Carno, Powys",Powys,Wales,Wales,,293000,295000.0,01/03/2009,"(52.542306419692125, -3.5791910905231066)"
2598,3285,09/06/2010,Messrs James and Ronald Innes,Achairn,Wind Onshore,6.2,2.05,3.0,,Operational,"West of Wick, Caithness",Highland,Scotland,Scotland,,329950,950650.0,20/05/2009,"(58.438518198974606, -3.201506235112556)"
2602,3290,06/05/2009,EDF Energy,High Hedley Hope 2 (Extension),Wind Onshore,5.2,1.3,4.0,,Operational,"High Hedley Farm, Tow Law, Bishop Auckland, County Durham",County Durham,North East,England,,415700,541000.0,25/06/2008,"(54.76369119846399, -1.7575281860571033)"
2603,3292,30/07/2013,CRE Energy/ Scottish Power,Beinn an Tuirc,Wind Onshore,30.0,0.37,46.0,,Operational,Nr. Carradale,Strathclyde,Scotland,Scotland,,173950,636900.0,23/12/2001,"(55.573170618122, -5.587352693566457)"
2605,3294,03/02/2010,CRE Energy/ Scottish Power,Cnoc Donn Arnicle,Wind Onshore,15.0,0.57,26.0,,Operational,"Situated next to Beinn an Tuirc
Kintyre",Strathclyde,Scotland,Scotland,,175200,637600.0,01/10/2001,"(55.5800262500568, -5.568137305583777)"
2606,3295,27/04/2006,RWE npower,Beinn Ghlas Wind Farm,Wind Onshore,7.8,0.55,14.0,,Operational,"Land at Carn Gaibhre, Argyle and Bute",Strathclyde,Scotland,Scotland,,196500,726000.0,25/06/1999,"(56.382347070718794, -5.29771401283522)"
2607,3296,11/04/2011,RWE npower,"Bendealt Wind Farm, Highland",Wind Onshore,9.0,0.5,18.0,,Operational,Novar Estate,Highland,Scotland,Scotland,,255500,871000.0,01/09/1997,"(57.70549959488195, -4.426656084930237)"
2608,3297,03/12/2009,RWE npower,Meall an Tuirc Wind Farm,Wind Onshore,17.0,,34.0,,Operational,Novar Estate,Highland,Scotland,Scotland,,255500,871500.0,01/09/1997,"(57.7099866660903, -4.426956444746046)"
