sector,year,value,source,target
Packaging ,2013,181328.16023708507,formal_domestic_treatment,recycling
Packaging ,2013,108796.89614225105,formal_domestic_treatment,residual
Packaging ,2013,72531.26409483403,formal_domestic_treatment,recycling
Packaging ,2013,108796.89614225105,formal_domestic_treatment,residual
Packaging ,2013,72531.26409483403,formal_domestic_treatment,recycling
Packaging ,2014,265956.3594139008,formal_domestic_treatment,residual
Packaging ,2014,177304.23960926724,formal_domestic_treatment,recycling
Packaging ,2014,106382.54376556035,formal_domestic_treatment,residual
Packaging ,2014,70921.6958437069,formal_domestic_treatment,recycling
Packaging ,2014,106382.54376556035,formal_domestic_treatment,residual
Packaging ,2014,70921.6958437069,formal_domestic_treatment,recycling
Packaging ,2015,270100.47449706035,formal_domestic_treatment,residual
Packaging ,2015,180066.98299804027,formal_domestic_treatment,recycling
Packaging ,2015,108040.18979882415,formal_domestic_treatment,residual
Packaging ,2015,72026.79319921612,formal_domestic_treatment,recycling
Packaging ,2015,108040.18979882415,formal_domestic_treatment,residual
Packaging ,2015,72026.79319921612,formal_domestic_treatment,recycling
Packaging ,2016,270380.8913328858,formal_domestic_treatment,residual
Packaging ,2016,180253.9275552572,formal_domestic_treatment,recycling
Packaging ,2016,108152.3565331543,formal_domestic_treatment,residual
Packaging ,2016,72101.57102210289,formal_domestic_treatment,recycling
Packaging ,2016,108152.3565331543,formal_domestic_treatment,residual
Packaging ,2016,72101.57102210289,formal_domestic_treatment,recycling
Packaging ,2017,270389.07256085554,formal_domestic_treatment,residual
Packaging ,2017,180259.38170723704,formal_domestic_treatment,recycling
